beta_3,beta_4,sigma_3,sigma_4,time
-6.66785854615927e-15,1.1658714370934695e-14,8.414890271836294e-14,8.415455825431505e-14,9654428.049895393
-8.211281278693388e-15,-1.6618918107669007e-15,8.189127255242099e-14,8.189788971997224e-14,9657240.329230737
-8.748375270543706e-15,5.728682788816951e-15,8.165176064198656e-14,8.164662045974054e-14,9660052.751517138
-2.05942327776598e-15,1.1001580234426159e-15,8.611923471353048e-14,8.611509984865985e-14,9662865.034962593
-5.6831274565892835e-15,8.297899586632353e-16,7.464385966061368e-14,7.463989205331627e-14,9665677.48207975
-2.168641408021873e-15,-8.925428298986881e-15,7.912049636115012e-14,7.912080028825868e-14,9668489.646775907
-2.7343184174596345e-15,-1.9053075269507294e-15,7.692817208481092e-14,7.692629572280562e-14,9671302.101373276
9.840899980165084e-16,-1.343272229263825e-14,9.623938660533544e-14,9.623905130429995e-14,9674114.442477902
-3.804726759453049e-15,-1.0630722973254426e-14,7.38530220992305e-14,7.38598573012856e-14,9676926.80523144
1.082693018464086e-15,7.240195688119066e-15,7.072238097431153e-14,7.072291597735597e-14,9679739.000523105
-9.431491494444592e-15,-1.34943176848496e-14,7.434216265433568e-14,7.434431453231748e-14,9682551.44530562
8.698545313182532e-15,-1.806634274527366e-15,7.65970206103233e-14,7.659637028519876e-14,9685363.784493806
9.187320373269858e-15,-2.6670148393235792e-15,1.3347555140500023e-13,1.3347772898515654e-13,9688176.1077262
-2.282760586201831e-15,8.117386048656518e-15,8.093288185099307e-14,8.093326120616097e-14,9690988.56598427
4.355651282773465e-16,5.128158196266873e-15,8.042186067714027e-14,8.04246579774841e-14,9693800.95498128
-5.566766094791732e-15,-6.999179934661473e-15,8.281075703246982e-14,8.282115239050185e-14,9696613.224852417
-4.956492704406958e-15,4.3870100041150054e-16,8.14178574887349e-14,8.141543592783751e-14,9699425.668579131
-2.7684137658207965e-14,-4.562859757917852e-15,1.5994099382422383e-13,1.5996068966378957e-13,9702238.080507215
7.42780605433644e-15,1.884420074023154e-15,1.0067967462030958e-13,1.0066303167073637e-13,9705051.532532707
-2.925429132842388e-14,2.2172688895757617e-15,1.4236287808095087e-13,1.4234697018825232e-13,9707863.879600555
4.749732244594745e-15,4.849202061108409e-15,1.0139670372699726e-13,1.0139554578879674e-13,9710676.061222436
-3.407703802776511e-15,-6.521106915849479e-16,7.707498763510015e-14,7.708317918436605e-14,9713488.80649098
-4.460099535629387e-16,9.233787215678603e-15,1.1305414201475379e-13,1.130575105329609e-13,9716300.926656486
-3.3418574260748584e-16,1.7183057982859945e-15,7.580041353406064e-14,7.579961537940957e-14,9719113.234633824
1.1828937219337493e-14,7.717052995164595e-15,6.844571798678975e-14,6.844600237643712e-14,9721925.361627972
1.4921642704715317e-14,1.0550004242897681e-16,6.955924841469188e-14,6.955423383725119e-14,9724737.781762166
2.637522524174475e-15,3.778552894099603e-16,7.245046032044497e-14,7.245385389362547e-14,9727550.40661959
-1.3135655053282582e-14,1.6949168232077133e-15,1.2949869642469177e-13,1.2948190456083962e-13,9730362.656334825
-8.892583787994618e-16,-8.294160277917873e-15,7.394100677465571e-14,7.392860455225556e-14,9733174.92811945
4.7267920994233514e-15,-1.697636374915804e-16,6.777535033637998e-14,6.777622121408483e-14,9735987.32513613
-5.299932323601194e-15,1.4678085091825584e-15,8.625377857392331e-14,8.62628337395502e-14,9738799.738636961
6.2574225721567885e-15,1.0241680169582306e-14,9.68081344880125e-14,9.680010007815033e-14,9741612.021334836
-3.776820769254394e-15,3.8296409895865835e-15,9.301092029855184e-14,9.300561772833231e-14,9744424.46227188
-4.66269763076696e-16,-6.30713423449169e-15,6.767673082905413e-14,6.76839831780352e-14,9747236.79912688
3.2495385374290548e-15,-6.458317050251039e-15,1.1246088409705117e-13,1.1246325713383483e-13,9750049.193021525
7.81740632401212e-15,1.8762882062911116e-15,1.0038906497311727e-13,1.0037959114054787e-13,9752861.479387246
4.1423571754953426e-15,-4.0397996982008275e-15,7.215452039058434e-14,7.214625117509321e-14,9755673.990867807
-4.494750723380719e-15,-6.208352399163544e-15,8.116304490132147e-14,8.116662878814312e-14,9758487.151975742
-7.856726740468643e-15,8.845892808336707e-15,8.238353926115987e-14,8.237686341140908e-14,9761299.517497908
-5.4024660424850494e-17,7.000970549055448e-17,7.791661369505826e-14,7.791942316791113e-14,9764112.089421434
-7.71617209333114e-15,-6.023915568543825e-15,7.463346146285638e-14,7.463239331742945e-14,9766924.389529493
-1.6912825367912196e-15,-1.6067675316413051e-15,8.060051563691927e-14,8.060412705628993e-14,9769736.750485048
-1.5915044981431476e-15,3.0555975652889166e-15,7.628550788306211e-14,7.629512567985849e-14,9772548.91397217
1.2625869549552501e-15,-3.500805609667349e-15,8.28666971020923e-14,8.287173156272802e-14,9775361.452114537
4.924962330215227e-15,3.835204077675624e-15,6.547346910772341e-14,6.546939464749604e-14,9778173.696259726
3.2088564000890137e-14,-3.435674753868109e-14,1.8037789290513735e-13,1.8036420446384776e-13,9780989.210344702
-1.7330058517439404e-15,-9.297207317275989e-15,7.077957109019922e-14,7.077957146025505e-14,9783802.779658506
9.948968321245297e-15,-5.940486794309153e-15,7.274065169136676e-14,7.274575966799457e-14,9786615.297938276
-4.376381086085391e-15,-2.684911600453001e-15,8.697764361489697e-14,8.698362570260392e-14,9789427.553010084
1.8806043112819185e-15,8.145173291722739e-16,6.999046296674416e-14,6.998994459322852e-14,9792239.892925452
3.2965018544972513e-15,-4.6241645212682436e-15,8.675878127946301e-14,8.676832183840705e-14,9795052.294936633
1.5733640111412025e-15,-1.8154991842539077e-15,8.901326687962314e-14,8.90207476133001e-14,9797864.914776562
5.908758748715338e-17,4.7669983260496566e-15,9.440625528119683e-14,9.441168813609498e-14,9800677.050877165
-1.0914659106588703e-15,6.7411965344754925e-15,7.944362644621896e-14,7.944651530193842e-14,9803489.43004764
-1.8378370345970913e-15,-2.087776476798224e-15,7.975539702888241e-14,7.975957980776107e-14,9806301.714596696
-7.725142180090715e-15,-7.941983915741348e-15,7.213896534961963e-14,7.213235032054054e-14,9809114.121561768
4.363301341211042e-15,9.588679889362778e-15,7.030658397876608e-14,7.030312167646455e-14,9811925.91787169
-1.0907054948418854e-15,-4.791598152790193e-15,8.393914599527949e-14,8.393553711719276e-14,9814738.672335556
-6.866915232259728e-15,2.410871964862281e-15,7.940624154531522e-14,7.940933755871392e-14,9817551.052435365
5.442300662196291e-15,-5.9871591141913626e-15,6.682064267326986e-14,6.682155385935177e-14,9820363.688594142
9.194087393908857e-16,1.1951749385969957e-14,7.159813737877798e-14,7.160453737455033e-14,9823175.87902177
-1.5917576669985263e-15,-1.2363526621583065e-15,7.009138996296476e-14,7.009719964431197e-14,9825988.147226172
-5.230491888008819e-15,4.744610511127765e-15,8.655758041395267e-14,8.655489324191319e-14,9828800.734096743
-8.492997702083688e-16,-1.7860869551995254e-15,8.286692710934773e-14,8.286744295017527e-14,9831612.874889279
-1.2082391470927433e-16,8.259270732840273e-15,8.176902789335283e-14,8.176492229544803e-14,9834425.252932508
5.80394560568599e-16,-1.7405624486095607e-16,6.963829131090273e-14,6.963704914634443e-14,9837237.552206311
4.2884601448502855e-15,-5.412691321256755e-16,7.191282730618926e-14,7.191359113005297e-14,9840050.052809626
-5.283948815211358e-16,-1.298125503043549e-15,7.238463069550226e-14,7.238060945341177e-14,9842862.786927026
6.3439030017106e-15,-4.503362427521355e-15,7.957624677803943e-14,7.957180922214225e-14,9845675.825951459
-1.278147935091844e-15,-4.969339812325202e-15,7.891524096547223e-14,7.891193841063602e-14,9848488.168334862
-2.5347289196494463e-15,-6.453934697444335e-15,9.256066574335064e-14,9.255973681847523e-14,9851300.41285831
