beta_3,beta_4,sigma_3,sigma_4,time
2.139354243927189e-06,2.546677801350712e-06,1.5062866763748026e-06,1.5061686881940404e-06,1713492.537882804
5.364608439279199e-06,-7.698502660656235e-06,1.2553476147029175e-06,1.2553020270771142e-06,1715992.138198164
-2.283610080567384e-06,2.8218335825941926e-06,1.3926369975191516e-06,1.3926631297945953e-06,1718492.1521138886
8.219405996156762e-06,6.397515649909118e-07,1.2285523880061705e-06,1.2286483332310724e-06,1720992.1346557392
-2.7952174675548446e-06,1.577442092429226e-06,1.51847234609249e-06,1.5186244815171593e-06,1723492.1886828428
1.2234680573202444e-06,3.308618174614458e-06,1.1957437410578932e-06,1.1956955742017593e-06,1725992.0836904286
3.83943169616731e-06,1.8495907629566542e-06,1.8210459796909924e-06,1.821053460770077e-06,1728492.1381330376
3.3144846140676475e-06,1.8707381853136451e-06,1.2541224720509528e-06,1.2541752577009703e-06,1730992.1524064871
-3.2908676826236322e-06,4.5932783909960114e-07,1.3078927499981356e-06,1.307981970010974e-06,1733492.2239722759
4.581834980790338e-06,1.7169276313025665e-06,1.5225015026945924e-06,1.5224127971810547e-06,1735992.231583827
1.866405805895591e-06,-9.801880312266969e-06,1.4591700548601193e-06,1.4591318875625693e-06,1738492.1941250546
-2.2969023581191795e-06,-3.3195560518789257e-06,1.596231148089622e-06,1.596224781374757e-06,1740992.15136817
2.3660195367171375e-06,4.574347363997514e-07,1.402888758690818e-06,1.4029278865510416e-06,1743492.2235743017
-6.338719398294248e-07,-5.962338210978673e-06,1.2181624798892357e-06,1.218159645167414e-06,1745992.2252356536
-5.824019983944173e-06,2.9315473573345424e-06,1.6208649268503995e-06,1.6207263314912021e-06,1748492.1675755132
3.225992264181946e-06,-1.7238599964995502e-06,1.1505923194592784e-06,1.15052794763884e-06,1750992.2939415218
-5.266685338172406e-06,-3.697719717076834e-06,1.233093527676178e-06,1.2331893819386186e-06,1753492.077683729
-4.566510975317383e-06,1.5402148586132065e-06,1.4754676436081503e-06,1.4753891277862585e-06,1755992.1380707272
1.3936003077034872e-06,3.7197622323798004e-06,1.6712711882220153e-06,1.6713183970772616e-06,1758492.2232847863
-2.951071264671345e-06,8.465184716985193e-07,1.6559031631711807e-06,1.6559703272354999e-06,1760992.2744373076
5.779847416677347e-06,3.971183056909248e-06,1.4029757177053797e-06,1.4030418412912328e-06,1763492.245681624
-5.555353977326913e-06,-6.969111760654374e-06,2.896287426213761e-06,2.8965126568792874e-06,1765992.3150469775
-6.227426553570297e-06,3.6079030348686797e-06,1.3867922679952252e-06,1.3868260770654727e-06,1768492.2947790618
2.4500794834822877e-06,-7.709357464060327e-07,1.7576905386342965e-06,1.757618142053662e-06,1770992.2896974788
-2.1240428977302847e-06,1.743404936869771e-07,2.041275084333247e-06,2.041288667450128e-06,1773492.3713452513
-2.4907884217662393e-07,-2.922307158192098e-07,1.5932489275396665e-06,1.593310665220859e-06,1775992.2269293582
-4.7852832796469855e-06,8.623720116050612e-07,1.1756818912113365e-06,1.1756481484732447e-06,1778492.3244490412
2.853327072128778e-06,2.225728397604631e-06,1.3557859894523021e-06,1.3556679809914852e-06,1780992.4060672587
6.2099229038727e-06,2.2638639624407917e-06,1.719213615249058e-06,1.7191833190534384e-06,1783492.2328409743
2.4377916250423095e-06,9.671443061315137e-07,1.4398845174933245e-06,1.43993490039843e-06,1785992.4248789798
2.41243312027567e-06,-7.644370325112113e-06,1.521789980510896e-06,1.5218249913553472e-06,1788492.3683022286
2.4327118339394557e-06,-3.97832996012033e-06,1.9312848104781224e-06,1.9312812438188546e-06,1790992.4782701696
4.4539298581793596e-07,-1.2396822361480392e-06,1.2024658798946372e-06,1.2024094042332042e-06,1793492.4044631647
-4.070530330707514e-06,-2.4269925558567145e-06,1.3234740388746119e-06,1.3233887689151346e-06,1795992.4317925994
-2.58187597137546e-06,-1.0107934481677123e-07,2.4338704728753414e-06,2.4337724611436473e-06,1798492.4805873253
-8.881313723357849e-07,6.39141720783092e-06,1.3982060519182591e-06,1.3981166634730086e-06,1800992.4040914152
-3.841973753695735e-06,-2.8751522304140777e-06,1.5647715916349198e-06,1.5646542109718017e-06,1803492.4641570926
5.287790110465134e-06,-1.5868656697479411e-07,1.3938411336394958e-06,1.3937387513310098e-06,1805992.5142001703
-1.6319440119791829e-06,4.221211416629754e-06,1.598260738304896e-06,1.598169929958663e-06,1808492.3639435952
2.849965255924595e-06,-5.270802767310024e-07,1.6137123302876619e-06,1.6137395724434229e-06,1810993.2435641268
3.290888009634061e-06,-3.1785207179895126e-06,1.267609211870039e-06,1.267637840240318e-06,1813492.6364975916
-5.467696784292533e-06,2.310825957344251e-06,1.6284709757815954e-06,1.628575292644055e-06,1815992.4814274719
-9.74134670862556e-07,-3.0570875132237482e-06,1.6260139624651606e-06,1.6260856814574031e-06,1818492.5193447694
-3.6359628566231684e-07,5.997224675857747e-06,1.583533880697063e-06,1.583646341063876e-06,1820992.5000411433
-5.813650765431246e-06,-6.052676589314959e-06,1.2939233897936206e-06,1.2939655335638891e-06,1823492.5615865546
5.933941050968123e-06,2.701885691323502e-06,1.2806935189385604e-06,1.2806664920370302e-06,1825992.6008358954
2.5380238051652095e-06,-7.699650218727475e-06,1.2710209273790627e-06,1.2710160127333364e-06,1828492.5419609218
-9.794531869451049e-06,7.513400829447118e-07,1.762063261206228e-06,1.7620796922736489e-06,1830992.590419136
-9.499914167908234e-06,1.5494248524911704e-06,1.7023585309809064e-06,1.7024253468452335e-06,1833492.5496490744
-1.259309167144696e-06,2.131519943583344e-06,1.6070670392581015e-06,1.6070170735793481e-06,1835992.5512778454
-9.298887235760528e-07,4.084030264807211e-06,1.4134220233001646e-06,1.4135408510041394e-06,1838492.578903043
-6.29153096198899e-06,-1.8232535703201404e-06,1.3920555408851753e-06,1.3922856833414414e-06,1840992.6581358942
5.049512689643269e-06,5.892514231148796e-06,1.3759702458061094e-06,1.3760261597005324e-06,1843492.635655031
9.738964806689833e-06,7.335052318889926e-07,1.4637822647191808e-06,1.4638347718911584e-06,1845992.5924368904
-4.114229990091016e-06,-3.3848296325479017e-06,1.6712591990134946e-06,1.671308653956692e-06,1848492.5848276648
-1.7705177142067386e-06,4.081778794143462e-06,1.5103873101710806e-06,1.510427620402102e-06,1850992.6307147108
3.13516925814664e-06,7.366423177275146e-06,1.4017269545344206e-06,1.4017914826349597e-06,1853492.633086091
9.052589829069918e-06,-3.459742749748751e-06,1.5410147258754637e-06,1.541026203061132e-06,1855992.6280451664
-4.972433454802594e-06,-2.149529448055077e-06,1.208869758809191e-06,1.2088769221858296e-06,1858492.6488630057
